companyName,flightNumber, country-of-origin,country-of-destination,stopover,price,time-of-departure,time-of-arrival,date
LATAM Airlines,66,Antarctica,Kazakhstan,1,1112,17:23,16:13,10-Oct
TAME,22,Morocco,Lebanon,0,540,10:53,24:05:00,17-May
Copa Airlines,50,Bahrain,Ghana,2,730,9:34,13:17,21-Feb
Copa Airlines,119,Austria,Falkland Islands Malvinas,3,477,12:11,1:13,17-Feb
TAME,110,Niger,Macao,3,452,23:27,16:53,10-Oct
Viva Air Colombia,41,Dominica,Cameroon,2,1332,1:07,1:06,26-Sep
Insel Air,24,Portugal,Mongolia,3,953,5:36,4:13,11-Jun
Aerolineas Argentinas Airlines,101,Argentina,South Africa,0,523,20:23,9:38,25-Oct
Air Canada,20,Philippines,Kiribati,0,1711,2:33,3:55,8-Sep
Air Canada,90,South Sudan,Ethiopia,3,1947,2:17,13:17,12-Nov
Viva Air Colombia,30,Tuvalu,Puerto Rico,1,1000,10:31,22:25,5-Apr
Gol Transportes Aereos,133,Chad,Sierra Leone,2,1260,17:29,16:57,7-Apr
Avianca Airlines,20,South Africa,Tanzania United Republic of,3,966,21:41,21:02,23-Oct
Alaska Airlines,55,Palau,Tonga,3,642,19:37,15:23,22-Aug
Linea Aerea Amaszonas,62,Seychelles,Samoa,3,1075,18:36,15:10,20-May
Boliviana de Aviacion,79,Albania,Liechtenstein,1,1334,9:17,12:00,1-Dec
American Airlines,67,San Marino,Monaco,2,1311,19:07,4:37,1-Sep
Copa Airlines,44,Martinique,Eritrea,1,293,8:36,23:08,25-Apr
LATAM Airlines,46,Cocos Keeling Islands,Liberia,0,1638,12:15,7:22,28-Dec
Alaska Airlines,72,Guadeloupe,South Georgia and the South Sandwich Islands,2,299,24:31:00,23:59,27-Dec
LATAM Airlines,116,Nicaragua,Switzerland,1,560,10:26,18:12,5-Apr
Air Canada,150,Romania,Brazil,2,1391,5:39,12:34,6-Sep
TAME,46,Aruba,Monaco,2,1745,1:50,16:26,9-Aug
Alaska Airlines,141,United Arab Emirates,Isle of Man,2,1875,6:40,16:22,26-Aug
Avianca Airlines,127,Faroe Islands,Poland,1,604,21:15,3:10,10-Jan
Copa Airlines,6,Grenada,Tokelau,2,650,8:25,13:46,1-Jan
